name,address,addr:city,addr:postcode,cuisine,lat,lon,county
DQ Grill & Chill,Herndon Drive,Rosenberg,77471-2101,ice_cream;burger,29.5655457,-95.7813716,Fort Bend
Papa Mex,,,,,29.5650885,-95.7819939,Fort Bend
Wendy's,,,,,29.563698,-95.7846064,Fort Bend
Little Caesars,,,,pizza,29.5657137,-95.7814736,Fort Bend
Texas Safari Banquet Hall,,,,,29.6452725,-95.6780794,Fort Bend
Sonic,Sienna Ranch Road,Missouri City,77459,burger,29.541908,-95.5491881,Fort Bend
Burger King,Crabb River Road,Richmond,77469-5632,burger,29.5589322,-95.6909529,Fort Bend
Starbucks,City Walk Boulevard,Sugar Land,77479,coffee_shop,29.5961262,-95.6223894,Fort Bend
Subway,Eldridge Road,Sugar Land,77498,sandwich,29.634294,-95.619024,Fort Bend
Pei Wei,,,,asian,29.598255,-95.625989,Fort Bend
Freebirds,,,,mexican,29.6050781,-95.6135591,Fort Bend
Schlotzsky's,Southwest Freeway Frontage Road,Sugar Land,77478,sandwich,29.6054401,-95.6138628,Fort Bend
Lupe Tortilla,Southwest Freeway,Sugar Land,77478,mexican,29.5991447,-95.6202791,Fort Bend
Madras Pavillion,,,,indian,29.5982155,-95.6277036,Fort Bend
Fish City Grill,City Walk,Sugar Land,77479,seafood,29.5966387,-95.6217626,Fort Bend
Sonic,Westheimer Parkway,Cinco Ranch,77494,burger,29.7351913,-95.7776082,Fort Bend
Panda Express,Southwest Freeway,Rosenberg,77471,chinese,29.544116,-95.7553426,Fort Bend
Denny's,,,,american,29.6462018,-95.5796233,Fort Bend
Chick-fil-A,State Highway 6 South,Sugar Land,77478,chicken,29.5975596,-95.6186122,Fort Bend
T Jins China Diner,,,,,29.5421771,-95.7498454,Fort Bend
McDonald's,State Highway 6,Sugar Land,77479,burger,29.6013392,-95.6322524,Fort Bend
Denny's,State Highway 6,Sugar Land,77478,american,29.601696,-95.6331295,Fort Bend
Carrabba's Itallian Grill,,,,,29.713012,-95.7705135,Fort Bend
Smashburger,,,,burger,29.7125933,-95.772739,Fort Bend
Jack in the Box,Fondren Road,Missouri City,77489,burger,29.619436,-95.5079574,Fort Bend
Shipley Donuts,Texas Parkway,Missouri City,77489,donut,29.6020026,-95.5260516,Fort Bend
Church's Chicken,Texas Parkway,Missouri City,77489,chicken,29.5982828,-95.5264432,Fort Bend
Timmy Chan's Chicken and Fried Rice,Texas Parkway,Missouri City,77489,,29.5976997,-95.526293,Fort Bend
Burger King,Texas Parkway,Missouri City,77489,burger,29.5950503,-95.5262742,Fort Bend
Subway,Texas Parkway,Missouri City,77489,sandwich,29.5976134,-95.5271379,Fort Bend
KFC,Texas Parkway,Missouri City,77489,chicken,29.5952602,-95.5271352,Fort Bend
McDonald's,Cartwright Road,Missouri City,77489,burger,29.5831293,-95.5273525,Fort Bend
Hartz Chicken Buffet,Cartwright Road,Missouri City,77489,chicken,29.5831479,-95.5282939,Fort Bend
Fu Lu Su,Cartwright Road,Missouri City,77459,thai,29.582896,-95.542456,Fort Bend
Tornado Taco,Murphy Road,Missouri City,77459,tex-mex,29.5831882,-95.5637205,Fort Bend
Sonic,Alvin Sugarland Road,Missouri City,77459,burger,29.569634,-95.567188,Fort Bend
Old Hickory Inn BBQ,Murphy Road,Missouri City,77459,barbecue,29.571253,-95.564554,Fort Bend
Five Guys,Highway 6,Missouri City,77459,burger,29.5655731,-95.5635214,Fort Bend
Spring Creek Barbeque,State Highway 6,Missouri City,77459,barbecue,29.5791773,-95.5796736,Fort Bend
Fuzzy's Taco Shop,State Highway 6,Missouri City,77459,mexican,29.5797324,-95.5805159,Fort Bend
Cafe East Chinese Restaurant and Buffet,State Highway 6 South,Sugar Land,77478,chinese,29.5819531,-95.5824256,Fort Bend
Saigon Pho & Grill Vietnamese Noodle House,State Highway 6 South,Sugar Land,77478,vietnamese,29.5820581,-95.582667,Fort Bend
Dumar's Mediterranean Grill,State Highway 6 South,Sugar Land,77479,mediterranean,29.5811544,-95.5862957,Fort Bend
El Fogon Mexican Kitchen 4514 Yes I Don't See Any,State Highway 6 South,Sugar Land,77478,mexican,29.5812386,-95.5864237,Fort Bend
Volcano Hot Pot & BBQ,State Highway 6 South,Sugar Land,77478,asian,29.5884818,-95.5990607,Fort Bend
Firehouse Subs,State Highway 6 South,Sugar Land,77478,sandwich,29.5934452,-95.6069449,Fort Bend
Pho Ben Noodle House,State Highway 6 South,Sugar Land,77478,vietnamese,29.5908328,-95.5983016,Fort Bend
Paisa twin,,,,,29.772953,-95.837861,Fort Bend
